issue_id,title,description,tags
1059,Crash on file upload,This issue occurs when users try to log in with Safari or Edge.,"theme,charts,upload,auth"
1060,Memory leak,Client data does not sync after update.,"charts,i18n,api"
1061,Data not syncing,Charts fail to render when dataset is empty.,"upload,ui"
1062,Broken image,UI shows untranslated labels in French locale.,"permissions,search,image"
1063,Chart rendering error,App crashes when uploading a file larger than 50MB.,"error,backend,sync,frontend"
1064,Chart rendering error,Some users report unauthorized error despite valid tokens.,"backend,ux,frontend"
1065,Memory leak,Some images return 404 errors on production.,"frontend,sync,permissions,i18n"
1066,Access denied,App crashes when uploading a file larger than 50MB.,"permissions,email,ux,charts"
1067,Error 500 on save,Report generation fails due to timeout.,"mobile,search,frontend"
1068,Login failure,Internal server error when attempting to save user profile.,"error,security,charts,i18n"
1069,Access denied,Some users report unauthorized error despite valid tokens.,"search,charts,theme,sync"
1070,Missing translations,UI shows untranslated labels in French locale.,"image,error,theme"
1071,Email not sent,Password reset emails are not being sent.,"i18n,ux"
1072,Permission bug,Internal server error when attempting to save user profile.,"security,charts"
1073,Broken image,User permissions are not applied correctly.,"image,sync,charts,mobile"
1074,Timeout on report,API responses are delayed under heavy traffic.,"sync,ux"
1075,Search not working,App crashes when uploading a file larger than 50MB.,"search,auth,permissions,theme"
1076,Access denied,Client data does not sync after update.,"api,sync,image"
1077,Text overflow,Some users report unauthorized error despite valid tokens.,"auth,api"
1078,Error 500 on save,Search bar does not return any results.,"ux,error"
1079,Text overflow,Main dashboard takes over 10 seconds to load.,"report,theme,performance"
1080,Crash on file upload,Client data does not sync after update.,"i18n,frontend"
1081,UI bug on mobile,Report generation fails due to timeout.,"auth,permissions"
1082,Permission bug,API responses are delayed under heavy traffic.,"ux,theme,error"
1083,Crash on file upload,Internal server error when attempting to save user profile.,"ui,report"
1084,Missing translations,API responses are delayed under heavy traffic.,"mobile,security,backend,ux"
1085,Email not sent,App memory usage keeps increasing after parsing large datasets.,"report,theme,frontend"
1086,Access denied,Report generation fails due to timeout.,"report,auth,api,frontend"
1087,Login failure,Some users report unauthorized error despite valid tokens.,"sync,permissions"
1088,Chart rendering error,Some images return 404 errors on production.,"sync,api,report"
1089,Dark mode glitch,Password reset emails are not being sent.,"permissions,ui"
1090,Text overflow,UI shows untranslated labels in French locale.,"frontend,search"
1091,Crash on file upload,User permissions are not applied correctly.,"frontend,auth,ux,i18n"
1092,Text overflow,Search bar does not return any results.,"search,i18n,permissions,ui"
1093,Data not syncing,Session expires suddenly even when user is active.,"upload,security,api,sync"
1094,Missing translations,Submit button overlaps with footer in mobile view.,"email,ux"
1095,Timeout on report,Submit button overlaps with footer in mobile view.,"backend,ux,frontend,email"
1096,Data not syncing,Double clicking crashes the modal window.,"charts,upload"
1097,Chart rendering error,Dark mode causes UI flickering in forms.,"i18n,ui,permissions"
1098,Double click crash,Dark mode causes UI flickering in forms.,"search,report,sync"
1099,Login failure,User permissions are not applied correctly.,"i18n,permissions"
1100,Double click crash,Submit button overlaps with footer in mobile view.,"frontend,theme"
