user_id,embedding
U0056,"[0.675370, -0.571943]"
U0057,"[2.409454, 0.159412]"
U0058,"[-1.646135, 0.307418]"
U0059,"[-0.839419, -0.679656]"
U0060,"[0.050857, -0.504044]"
U0061,"[0.911162, 0.989418]"
U0062,"[0.096068, -0.287462]"
U0063,"[-0.099561, 0.633281]"
U0064,"[0.292127, 1.119169]"
U0065,"[-1.632180, 0.510607]"
U0066,"[0.736527, -0.210761]"
U0067,"[0.091875, 1.455082]"
U0068,"[-0.718448, 0.656546]"
U0069,"[1.171596, -1.240952]"
U0070,"[-0.353742, 0.763544]"
U0071,"[-0.531659, 1.354202]"
U0072,"[-1.752489, -0.542291]"
U0073,"[1.170646, -0.053929]"
U0074,"[0.520980, -0.417617]"
U0075,"[2.175146, -0.024626]"
U0076,"[-1.171236, 0.595676]"
U0077,"[-0.073112, 0.240692]"
U0078,"[1.222938, -0.096697]"
U0079,"[-0.320951, 0.328945]"
U0080,"[-0.797750, -1.337304]"
U0081,"[-0.875646, -0.046602]"
U0082,"[-0.201600, 0.906982]"
U0083,"[-0.329281, -1.283481]"
U0084,"[-1.363544, -0.290635]"
U0085,"[0.047639, -0.435415]"
U0086,"[-2.088424, 0.615349]"
U0087,"[-2.378283, 0.228378]"
U0088,"[0.385111, -0.105149]"
U0089,"[-0.220163, -1.388269]"
U0090,"[-0.132470, -0.356128]"
U0091,"[-1.469613, -0.585798]"
U0092,"[1.623043, 0.415800]"
U0093,"[-0.379447, -0.027902]"
U0094,"[1.719845, -0.100714]"
U0095,"[-1.091736, 0.657725]"
U0096,"[0.346492, 0.007440]"
U0097,"[-0.613155, 0.665119]"
U0098,"[1.265198, -0.066880]"
U0099,"[1.091230, -0.173797]"
U0100,"[-0.196818, 0.268937]"
U0101,"[-0.641001, 0.760147]"
U0102,"[-1.005855, 0.027033]"
U0103,"[-1.038314, -0.725146]"
U0104,"[1.985567, 0.201023]"
U0105,"[-0.964816, 1.871396]"
U0106,"[0.780645, -0.209944]"
U0107,"[-1.512079, 0.532023]"
U0108,"[0.756714, 1.307161]"
U0109,"[0.655031, 0.242310]"
U0110,"[-1.347932, 0.265723]"
U0111,"[-0.000197, 0.181439]"
U0112,"[-0.663686, -0.756786]"
U0113,"[-0.613386, 1.686374]"
U0114,"[-2.428096, -0.685312]"
U0115,"[0.759427, -0.590711]"
U0116,"[2.289633, -0.138612]"
U0117,"[-1.401985, -0.754801]"
U0118,"[1.259065, -0.479390]"
U0119,"[-0.349826, -1.783429]"
U0120,"[-1.565329, -0.386950]"
U0121,"[-0.095385, 0.423737]"
U0122,"[-0.037057, -0.489153]"
U0123,"[0.739555, -0.784076]"
U0124,"[-1.094180, 0.867413]"
U0125,"[-1.165501, -1.601509]"
U0126,"[0.449627, -1.395951]"
U0127,"[1.300653, 0.137779]"
U0128,"[-1.390487, 1.554059]"
U0129,"[-0.202500, 1.939720]"
U0130,"[0.432079, -1.221848]"
U0131,"[1.363006, -0.506039]"
U0132,"[0.880787, 0.352408]"
U0133,"[1.344020, -1.957084]"
U0134,"[-0.492408, -1.307389]"
U0135,"[0.089375, -1.088108]"
U0136,"[1.495176, 2.216927]"
U0137,"[0.033859, 0.069402]"
U0138,"[-0.698354, 0.612400]"
U0139,"[-0.521331, 1.639913]"
U0140,"[-0.332362, 0.340114]"
U0141,"[-0.360504, 1.790294]"
U0142,"[-0.800529, -0.179500]"
U0143,"[1.233398, -0.163624]"
U0144,"[-2.822616, -0.554727]"
U0145,"[1.031337, -1.315087]"
U0146,"[0.682083, 0.076505]"
U0147,"[0.024505, -1.065713]"
U0148,"[2.382692, 0.076885]"
U0149,"[-0.583690, 0.008571]"
U0150,"[0.174153, -1.047696]"
U0151,"[-0.039749, 0.828271]"
U0152,"[0.249516, -0.162843]"
U0153,"[0.323695, 0.161173]"
U0154,"[-1.082379, 0.791220]"
U0155,"[-0.072805, -1.194294]"
U0156,"[0.332971, -0.199660]"
U0157,"[1.058567, 1.239919]"
U0158,"[0.905747, 1.407762]"
U0159,"[-1.866125, 1.398726]"
U0160,"[1.393169, 1.531402]"
U0161,"[-1.725515, 0.564646]"
U0162,"[0.401099, 0.182466]"
U0163,"[-0.747726, -2.107201]"
U0164,"[1.467786, -1.212407]"
U0165,"[-1.983336, 1.285104]"
U0166,"[-1.573988, -0.230100]"
U0167,"[-0.315487, 0.023259]"
U0168,"[0.233705, -1.743616]"
U0169,"[0.850845, 1.670670]"
U0170,"[-0.509608, -0.407893]"
U0171,"[1.908581, -0.170946]"
U0172,"[1.420725, -0.166354]"
U0173,"[-0.380767, -0.107206]"
U0174,"[1.129886, 1.899775]"
U0175,"[-0.179381, 2.471909]"
U0176,"[-0.771282, 0.243409]"
U0177,"[1.119595, 1.216563]"
U0178,"[0.403623, -0.995612]"
U0179,"[1.013221, -0.927467]"
U0180,"[0.094218, -2.057963]"
U0181,"[-0.503778, -2.168963]"
U0182,"[1.199871, -0.885859]"
U0183,"[-0.701117, -0.902452]"
U0184,"[-0.880730, 0.247700]"
U0185,"[-0.104168, -1.217620]"
U0186,"[0.648031, -0.979395]"
U0187,"[0.047677, -0.285329]"
U0188,"[-0.160024, 0.461408]"
U0189,"[0.608661, 0.712644]"
U0190,"[-0.051705, 2.043362]"
U0191,"[-1.327236, -1.035143]"
U0192,"[0.053104, -0.191015]"
U0193,"[-1.156615, -1.061604]"
U0194,"[1.332970, -0.398502]"
U0195,"[1.579425, 0.053480]"
U0196,"[-1.211478, -0.730513]"
U0197,"[-0.309155, 0.053587]"
U0198,"[-0.004989, -0.629090]"
U0199,"[-1.006044, 0.376785]"
U0200,"[0.158156, 0.569801]"
U0201,"[-0.763834, 0.602185]"
U0202,"[1.086525, -0.028900]"
U0203,"[-1.856700, -1.212803]"
U0204,"[1.496553, -0.453361]"
U0205,"[0.025355, -1.621540]"
U0206,"[-1.371878, 0.219503]"
U0207,"[-0.827757, -1.618121]"
U0208,"[-0.182663, -0.179486]"
U0209,"[0.466639, 0.169797]"
U0210,"[-0.490387, -0.857899]"
U0211,"[-1.635543, -0.294676]"
U0212,"[-0.585840, -1.361842]"
U0213,"[1.667463, 1.045987]"
U0214,"[-0.721703, -0.913413]"
U0215,"[-0.083568, 0.120516]"
U0216,"[1.504512, 0.119762]"
U0217,"[0.224459, -0.792802]"
U0218,"[-0.247656, 1.136031]"
U0219,"[-0.185377, -1.254042]"
U0220,"[2.025789, -0.560418]"
U0221,"[0.326571, 0.254001]"
U0222,"[0.991615, -0.550105]"
U0223,"[-0.431035, -0.108901]"
U0224,"[0.595910, 1.528899]"
U0225,"[-0.647801, 0.536652]"
U0226,"[-0.772620, -0.323194]"
U0227,"[-0.315148, 1.476700]"
U0228,"[-1.830547, -0.327159]"
U0229,"[1.768791, 0.128104]"
U0230,"[-0.942364, 0.091264]"
U0231,"[0.165237, -2.093180]"
U0232,"[-0.524236, 0.589547]"
U0233,"[-0.874950, 0.285738]"
U0234,"[-1.669259, 0.739427]"
U0235,"[1.510132, -0.489096]"
U0236,"[0.517832, -0.531137]"
U0237,"[0.415796, 1.757867]"
U0238,"[2.131034, 1.067657]"
U0239,"[-1.427533, -1.114306]"
U0240,"[-0.675181, -0.785913]"
U0241,"[0.216402, -1.675643]"
U0242,"[-1.000336, -0.233772]"
U0243,"[-0.075190, -1.002506]"
U0244,"[0.927460, 0.453250]"
U0245,"[-1.563973, -0.073159]"
U0246,"[0.043326, 1.717968]"
U0247,"[0.589072, 0.301303]"
U0248,"[-2.126456, 0.547264]"
U0249,"[1.453076, 0.247831]"
U0250,"[1.176082, -1.319651]"
U0251,"[0.674848, -1.930935]"
U0252,"[1.299074, -0.512295]"
U0253,"[-0.466041, -1.417211]"
U0254,"[-0.646476, 0.122427]"
U0255,"[-0.162215, -0.398808]"
U0256,"[-0.084001, -0.406948]"
U0257,"[-0.360684, 0.621189]"
U0258,"[1.375758, -1.219168]"
U0259,"[-2.472310, 0.736313]"
U0260,"[0.314588, 0.649589]"
U0261,"[0.448043, 0.261566]"
U0262,"[0.661411, 0.897973]"
U0263,"[-1.198181, -0.164502]"
U0264,"[-0.429487, 0.236409]"
U0265,"[0.112148, 0.178907]"
U0266,"[0.955808, 0.766742]"
U0267,"[-1.183013, 1.453949]"
U0268,"[-0.192842, -0.634887]"
U0269,"[-0.437957, 0.596104]"
U0270,"[-1.017702, 1.146858]"
U0271,"[0.941166, -0.557541]"
U0272,"[-1.222694, 0.632284]"
U0273,"[-0.145582, -0.984175]"
U0274,"[1.749714, 2.739719]"
U0275,"[0.468552, -0.858362]"
U0276,"[-0.136306, 2.036973]"
U0277,"[-0.078333, -1.448222]"
U0278,"[-0.260036, 1.138030]"
U0279,"[0.451965, -0.478416]"
U0280,"[-1.114112, -0.115087]"
U0281,"[0.201725, -1.422850]"
U0282,"[-0.261294, -1.187772]"
U0283,"[-1.001514, -1.190022]"
U0284,"[-0.512881, -0.706784]"
U0285,"[-1.300809, -0.641484]"
U0286,"[0.946691, 0.433562]"
U0287,"[1.233988, -0.266969]"
U0288,"[-0.210865, -0.927524]"
U0289,"[0.289484, 0.148119]"
U0290,"[1.504150, -0.364902]"
U0291,"[-0.116023, -0.393001]"
U0292,"[1.018546, -0.157464]"
U0293,"[0.676428, -1.077123]"
U0294,"[-0.711272, 0.116922]"
U0295,"[-2.049570, 0.183327]"
U0296,"[0.386303, 1.766226]"
U0297,"[-0.161993, 0.733280]"
U0298,"[-0.221952, 0.295944]"
U0299,"[0.461302, 0.579375]"
U0300,"[1.333963, -0.810522]"
U0301,"[1.020811, 0.537240]"
U0302,"[-1.495615, 0.086017]"
U0303,"[0.189750, -0.221890]"
U0304,"[-1.696713, -0.578946]"
U0305,"[0.883891, -0.348996]"
U0306,"[-1.687374, -0.012608]"
U0307,"[1.093424, -0.214588]"
U0308,"[-0.046752, 1.139561]"
U0309,"[1.632599, 0.309734]"
U0310,"[-0.560295, 0.900713]"
U0311,"[-0.250455, 0.566268]"
U0312,"[0.651356, 0.572234]"
U0313,"[0.315478, 0.016826]"
U0314,"[0.738684, 0.597920]"
U0315,"[-0.282782, 2.319552]"
U0316,"[1.329366, 0.931349]"
U0317,"[-0.330193, -0.133912]"
U0318,"[-0.173715, -0.709003]"
U0319,"[0.267907, -0.494861]"
U0320,"[-0.326320, -0.724607]"
U0321,"[0.783996, 0.468948]"
U0322,"[-0.204515, 1.604981]"
U0323,"[-0.185707, -0.661830]"
U0324,"[-2.070367, -0.365163]"
U0325,"[0.439006, 0.223986]"
U0326,"[0.116990, 0.737050]"
U0327,"[2.378275, -0.595347]"
U0328,"[-0.986301, -1.162791]"
U0329,"[1.558423, -1.020899]"
U0330,"[-0.328114, 0.969176]"
U0331,"[1.289885, -0.174371]"
U0332,"[-1.000765, 2.187922]"
U0333,"[-0.771631, 0.372016]"
U0334,"[-1.329599, -0.958118]"
U0335,"[-0.595404, 0.530024]"
U0336,"[0.115360, 1.830375]"
U0337,"[-0.275178, -0.208506]"
U0338,"[0.249075, -0.393008]"
U0339,"[-0.009982, 0.065993]"
U0340,"[-0.363774, 2.851009]"
U0341,"[0.090850, -0.413045]"
U0342,"[-1.066810, 0.027499]"
U0343,"[-1.026669, 1.352895]"
U0344,"[-0.245131, -0.374680]"
U0345,"[2.753824, 0.999184]"
U0346,"[0.398825, 0.297711]"
U0347,"[0.543150, 0.053816]"
U0348,"[1.487750, -1.006604]"
U0349,"[2.047323, 0.531629]"
U0350,"[-0.098823, -1.028065]"
U0351,"[-0.828445, -0.904367]"
U0352,"[1.801658, -0.270767]"
U0353,"[0.368385, -2.017781]"
U0354,"[0.632951, -1.068626]"
U0355,"[1.823150, -0.625209]"
U0356,"[1.169098, -0.605476]"
U0357,"[-1.758901, -0.683191]"
U0358,"[-0.407833, -0.673997]"
U0359,"[-0.359940, -0.925406]"
U0360,"[-0.463208, -0.941020]"
U0361,"[-1.104227, 0.593233]"
U0362,"[-0.190222, 0.757352]"
U0363,"[-0.260691, -1.127304]"
U0364,"[1.414386, 2.054777]"
U0365,"[0.161782, -0.689798]"
U0366,"[-0.787766, 1.656117]"
U0367,"[1.798629, -0.612584]"
U0368,"[0.903410, -0.101854]"
U0369,"[-0.312854, 1.153560]"
U0370,"[-0.325357, 2.104832]"
U0371,"[0.977191, -0.819628]"
U0372,"[1.127495, -0.019780]"
U0373,"[1.128969, 0.002086]"
U0374,"[1.374945, 0.954037]"
U0375,"[-0.541531, 1.301572]"
U0376,"[-1.282286, 0.553626]"
U0377,"[1.100405, 1.421248]"
U0378,"[-0.442991, -0.686676]"
U0379,"[-0.863027, -1.512263]"
U0380,"[0.543381, -1.313786]"
U0381,"[0.261772, 2.312865]"
U0382,"[0.211598, 0.912013]"
U0383,"[2.797070, 1.829413]"
U0384,"[-1.562342, 0.013091]"
U0385,"[0.125415, 0.138724]"
U0386,"[-0.383782, 1.668962]"
U0387,"[-1.215309, 2.306216]"
U0388,"[-1.510296, 0.057742]"
U0389,"[-1.557148, -1.354813]"
U0390,"[-0.345990, -0.897675]"
U0391,"[-1.085826, 1.469066]"
U0392,"[0.057533, 1.543948]"
U0393,"[1.133973, 0.575547]"
U0394,"[-1.115684, 1.079251]"
U0395,"[0.629455, -0.138380]"
U0396,"[-1.001899, 1.681537]"
U0397,"[0.956002, -1.789988]"
U0398,"[-1.713593, -0.887008]"
U0399,"[-0.454831, 0.037735]"
U0400,"[0.459583, 0.127268]"
U0401,"[0.459461, 1.666547]"
U0402,"[-0.312798, -1.006463]"
U0403,"[1.918668, 0.190115]"
U0404,"[-1.140687, -2.091988]"
U0405,"[-0.583486, -0.486295]"
U0406,"[0.308692, -1.060690]"
U0407,"[0.785035, -2.208276]"
U0408,"[0.214446, -0.444152]"
U0409,"[0.713917, 1.063023]"
U0410,"[-1.935383, -0.763345]"
U0411,"[0.094206, -0.267602]"
U0412,"[1.159648, -0.323160]"
U0413,"[-0.337590, -1.135915]"
U0414,"[-0.099126, 0.460555]"
U0415,"[0.991754, 0.415293]"
U0416,"[1.709601, 0.290856]"
U0417,"[-0.892400, -0.758861]"
U0418,"[-0.242527, -0.283820]"
U0419,"[-2.645207, 0.187401]"
U0420,"[-1.197120, -0.531647]"
U0421,"[-2.042538, -0.778251]"
U0422,"[-0.550024, -1.344428]"
U0423,"[0.689346, -0.909281]"
U0424,"[1.655489, -0.973714]"
U0425,"[-0.876936, -0.172910]"
U0426,"[1.792250, -1.350150]"
U0427,"[0.191791, 0.625487]"
U0428,"[1.870806, 0.172494]"
U0429,"[0.149923, -0.000715]"
U0430,"[0.559359, 2.253127]"
U0431,"[1.191523, 0.338189]"
U0432,"[-0.862025, 1.668503]"
U0433,"[-1.563076, -1.286351]"
U0434,"[-3.198866, -0.522854]"
U0435,"[-0.105153, 0.200587]"
U0436,"[-0.795771, 2.351152]"
U0437,"[-0.190841, -0.686411]"
U0438,"[0.822866, -2.488124]"
U0439,"[-0.288297, 0.701015]"
U0440,"[-1.204302, 1.501052]"
U0441,"[0.901149, -1.512537]"
U0442,"[-0.301247, -1.440122]"
U0443,"[0.289682, -1.088489]"
U0444,"[0.965793, -1.477875]"
U0445,"[2.048984, 0.351348]"
U0446,"[-1.046934, 0.314406]"
U0447,"[-0.724301, -1.053327]"
U0448,"[2.123421, -0.240292]"
U0449,"[0.334801, 0.744689]"
U0450,"[-0.195111, -0.325487]"
U0451,"[-1.077506, 1.101543]"
U0452,"[0.527653, -0.504252]"
U0453,"[-0.929848, 0.974834]"
U0454,"[0.685205, 0.531386]"
U0455,"[-0.576691, 1.391595]"
U0456,"[1.235232, 1.754487]"
U0457,"[0.693845, 0.971183]"
U0458,"[-1.610604, -0.393545]"
U0459,"[-2.631031, -0.452703]"
U0460,"[-1.361379, -1.899742]"
U0461,"[-0.058037, 0.035141]"
U0462,"[-0.308259, 1.347151]"
U0463,"[-1.211045, -0.123645]"
U0464,"[-1.008398, 1.090366]"
U0465,"[1.079737, -1.490185]"
U0466,"[1.380588, -1.051860]"
U0467,"[-0.147128, 0.540287]"
U0468,"[-0.520292, 0.673640]"
U0469,"[2.156745, -1.249305]"
U0470,"[0.870093, -0.937259]"
U0471,"[-0.728157, 0.042954]"
U0472,"[0.800852, -0.779681]"
U0473,"[-0.489959, -2.404370]"
U0474,"[0.080861, -0.382472]"
U0475,"[0.205305, 2.478278]"
U0476,"[0.415886, -0.588846]"
U0477,"[-1.188039, 0.770316]"
U0478,"[0.756689, 0.426966]"
U0479,"[0.338134, 0.491820]"
U0480,"[0.763073, -0.693601]"
U0481,"[-0.629812, -1.607180]"
U0482,"[-0.639552, -0.809588]"
U0483,"[0.662907, 1.299439]"
U0484,"[-0.232156, 0.488755]"
U0485,"[-1.297487, 0.854025]"
U0486,"[0.261967, -0.574000]"
U0487,"[0.530503, -0.051352]"
U0488,"[-2.506941, 0.280204]"
U0489,"[2.705394, 1.096966]"
U0490,"[-2.202860, 0.612472]"
U0491,"[-1.522301, -0.248922]"
U0492,"[1.835582, 1.231325]"
U0493,"[1.650399, 2.590316]"
U0494,"[1.201175, 1.297741]"
U0495,"[0.698400, -0.609350]"
U0496,"[1.262995, 0.781362]"
U0497,"[0.528603, -0.429797]"
U0498,"[1.305457, -1.492751]"
U0499,"[-0.752030, 0.317680]"
U0500,"[-0.568639, 1.300673]"
